亚科,亚科,genus,url,species,url url,fenbudi,description
猛蚁亚科蚂蚁,Ponerinae,扁头猛蚁属,Ectomomyrmex,爪哇扁头猛蚁,Ectomomyrmex javanus,中国广西（三江）、福建（福州、厦门、三明）、台湾（屏东、嘉义、新竹、花莲、台北、南投、恒春、台东、垦丁、高雄）、云南（华宁、景洪、勐腊、石林、昆明、无量山）、贵州（湄潭、印江、黄果树、雷公山）、北京（怀柔）、山东、江苏（苏州）、上海（徐家汇、佘山）、江西（九江）、浙江（普陀山）、广东（始兴、封开、连州、清远、龙门、深圳（南山、罗湖））、湖南、湖北（鹤峰）、香港、陕西（骊山）、重庆、待考证（Loka、Kuling）；日本，朝鲜半岛，缅甸，印度，马来西亚，爪哇，柬埔寨，印度尼西亚。,此蚁易与敏捷扁头猛蚁混淆，其体型更小，结节侧面有横刻纹。
臭蚁亚科蚂蚁,Dolichoderinae,臭蚁属,Dolichoderus,胸臭蚁,Dolichoderus thoracicus,中国云南（勐腊、勐仑、河口、西双版纳、无量山）、广东（大浦、深圳、博罗、河源、平远、罗浮山）、广西（龙胜、花坪、蒙山、天等、隆林、南丹、东兰、都安、环江、宜州、柳州、弄岗）、福建、台湾（卑南、嘉义县大林、Hori）、香港；锡金，印度，缅甸，泰国，越南，老挝，柬埔寨，菲律宾，马来西亚，新几内亚，澳大利亚。,Dolichoderus bituberculatus最初被翻译成了黑可可臭蚁，而后撤销了该中文名，另译为双疣臭蚁。“双疣”就是“bituberculatus”这个词的本意。之后，这种臭蚁确定为Dolichoderus thoracicus的次异名，撤销了。因为某些原因，“双疣”这个名称没有被更正，就这么沿用了下来。种小名“thoracicus”意为“胸部的”，故而此蚁种应译为“胸臭蚁”。特此更正。
蚁亚科蚂蚁,Formicinae,多刺蚁属,Polyrhachis,郑氏多刺蚁,Polyrhachis zhengi,中国广西。,
细蚁亚科蚂蚁,Leptanillinae,原细蚁属,Protanilla,肖德尔原细蚁,Protanilla schoedli,斯里兰卡。,
蚁亚科蚂蚁,Formicinae,原蚁属,Proformica,观音山原蚁,Proformica buddhaensis,中国山东（青岛）；蒙古。,
切叶蚁亚科蚂蚁,Myrmicinae,切胸蚁属,Temnothorax,条纹切胸蚁,Temnothorax striatus,中国宁夏（六盘山）、湖北、河南。,得名于其头部和中胸背板背面的条纹状刻纹。
蚁亚科蚂蚁,Formicinae,弓背蚁属,Camponotus,黑弓背蚁,Camponotus vagus,中国新疆（富蕴、察布查尔）；俄罗斯（欧洲部分东部和南部，在东部可达伏尔加），法国，匈牙利，比利时，澳大利亚。,
臭蚁亚科蚂蚁,Dolichoderinae,菲臭蚁属,Philidris,平滑菲臭蚁,Philidris laevigata,中国云南（西双版纳）；缅甸。,
切叶蚁亚科蚂蚁,Myrmicinae,红蚁属,Myrmica,图林红蚁,Myrmica tulinae,中国陕西；法国，格鲁吉亚，荷兰，希腊，意大利，波兰，土耳其。,种小名“tulini”为女子名，中文译为“图林”。故而译为“图林红蚁”。
猛蚁亚科蚂蚁,Ponerinae,短猛蚁属,Brachyponera,黄足短猛蚁,Brachyponera luteipes,中国海南、广西（百色、天峨、天等、上思、大明山、龙州、防城、十万大山、弄岗、龙虎山、桂林、金钟山）、北京、河北、河南（开封、兰考、尉氏、杞县、通许、徽县、栾川、商丘、夏邑、民权、宁陵、睢县、济源、太康、鹿邑、商水、鹤壁（淇县、淇滨、山城、鹤山、浚县）、鸡公山）、山东（青岛）、江西、江苏（徐州、苏州、南京）、安徽、湖北（来凤、九宫山）、湖南（湘南地区、湘北地区、湘中地区、湘东地区、湘西地区）、贵州（同仁、黄果树、梵净山）、四川（川西南高原域、成都）、重庆、浙江（天目山、百山祖、莫干山、丽水）、广东（珠海、惠东、龙门、平远、连州、清新、乳源、始兴、信宜、从化、深圳（南山、大鹏）、罗浮山、南岭）、云南（临沧、安宁、宣威、石林、西双版纳、昆明、无量山）、福建（厦门、福州）、台湾（台北、高雄、嘉义、南投、乌来、埔里、雾社、知本、垦丁、狮头山、六龟）、陕西（汉中）、上海（徐家汇）、香港（大埔区、九龙）、澳门、吉林（通榆）、西藏（喜马拉雅山（珠峰段）、东久、排龙、德姆拉山）、甘肃（兰州（七里河））、待定地名（Black Liang、Ausu、Kusang、Zo-cé、Sanshaci）；印度，韩国，菲律宾，缅甸，越南，苏门答腊，爪哇，斯里兰卡，马来西亚，澳大利亚，日本，尼科巴群岛，新西兰（人为传入）。,
