"ID","种","属","亚科","描述","分布"
"338","野牛举腹蚁Crematogaster bison","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","分布: 台湾 ","中国台湾。"
"339","席氏举腹蚁Crematogaster schimmeri","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","分布: 台湾 ","中国台湾。"
"340","台湾切胸蚁Temnothorax taivanensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","分布: 台湾 ","中国台湾、福建、广东、广西、海南、湖南。"
"341","暗腹切胸蚁Temnothorax opaciabdomin","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","分布: 青海 ","中国青海（西宁）、宁夏。"
"342","融安举腹蚁Crematogaster ronganensis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","分布: 广西。 ","中国广西（弄岗）。"
"343","常氏举腹蚁Crematogaster chungi","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","分布: 福建(福州) ","中国福建(福州)。"
"344","费氏盘腹蚁Aphaenogaster feae","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","费氏盘腹蚁的模式产地位于缅甸。 工蚁：TL 4.7~5.8, HL 1.13~1.41, HW 0.69~0.81, CI 56~61, SL 1.50~1.76, SI 208~217, PW 0.50~0.62, AL 1.57~1.88, ED 0.22~0.25.头卵形，后头部延长成颈状，后头缘具领状边缘。上颚咀嚼缘具3枚明显的端齿和1列小齿。唇基中部略凸，前缘平直，不具凹缘。额脊短，突出，向后略收敛。触角窝宽大。触角细长线状；柄节1/3超过后头缘；鞭节端4节形成触角棒。复眼卵形，前端窄，位于头侧面近中线处。前胸背板单凸；中胸背板前缘略高，向后倾斜；中-并胸腹节缝凹陷；并胸腹节基面长，约为斜面长的1.5倍；其前缘高，背面稍平；并胸腹节刺短，三角形，端部尖。第1结节圆凸，前面倾斜，后面陡直，长大于宽；结前柄短，仅为结节长的1/3；第2结节略高，卵形，前窄后宽，约为第1结节宽的1.4倍。后腹部卵形。体光亮。上颚具细纵刻纹；触角窝外缘具一条明显的粗脊；中胸侧板和并胸腹节具微弱不清晰的皱纹。立毛黄色，较细长，末端较钝。体亮红褐色。上颚、唇基、触角端部及足黄褐色，其中上颚具褐色边缘；后腹部黑褐色。 与原始描述比较，广西标本体色较浅，上颚咀嚼缘3齿明显。其余特征均相同。 ","中国福建（龙岩）、广东（惠东）、广西（金钟山、隆林、昭平）、湖南、西藏、云南（无量山、西双版纳）；马来西亚半岛，缅甸，越南，婆罗洲，印度尼西亚，印度。"
"345","二齿猛蚁Ponera diodonta","钩猛蚁属Anochetus","蚁亚科蚂蚁Formicinae","二齿猛蚁近似日本猛蚁P. japonica Wheeler, 但头侧缘较直；侧面观腹柄结前上角高于后上角；腹柄下突窗孔小, 后下缘具2齿。","中国云南（泸水）、西藏。"
"346","婀娜收获蚁Messor aralocaspius","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","婀娜收获蚁的模式产地位于俄罗斯。","中国新疆（阜康、塔城、五家渠）；俄罗斯，哈萨克斯坦，乌兹别克斯坦，吉尔吉斯斯坦，土库曼斯坦，塔吉克斯坦，伊朗，阿富汗，伊拉克，科威特，沙特阿拉伯，也门。"
"347","多型铺道蚁Tetramorium polymorphum","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","多型铺道蚁的工蚁具有体型分化，这与其它的铺道蚁截然不同。","中国云南（西双版纳）、广西（防城）；老挝，泰国。"
"348","多齿盘腹蚁Aphaenogaster polyodonta","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","多齿盘腹蚁的模式产地位于中国广西。 正模工蚁：TL 7.7, HL 1.79, HW 1.35, CI 75, SL 2.01, SI 148, PW 0.88, AL 2.51, ED 0.33.头卵圆形，复眼之后缩窄，但不延长成颈状；头顶中线处具一明显凹陷；后头缘凸，具明显边缘。上颚具6枚明显的齿，端齿最大，向后依次趋小，其后为1列不明显的细齿。唇基中部稍凸，前部具中央纵沟，其两侧脊状突出；前缘中央深凹陷。额区三角形，深凹，具细而不完整的唇基中脊。额脊短，突出。触角中粗，柄节基部强烈弯曲，弯曲部分下方具明显的叶状突；柄节1/4超过后头缘；触角棒4节，但除端节明显延长外，其余3节不明显膨大。复眼圆，位于头侧中线处。前胸背板圆凸；中胸背板向后倾斜，无明显横脊；并胸腹节基面约为斜面长的2倍，微凸；并胸腹节刺短而尖，指向后外方。第1结节背面圆凸，与结前柄等长；第2结节高于第1结节，背面圆，背面观梨形，前窄后宽，长略大于宽，其宽度约为第1结节的1.5倍。后腹部卵形。上颚具较粗的纵刻纹；唇基纵刻纹稀疏；触角柄节具纵刻纹和密集刻点；头部具粗糙刻纹和密集刻点；两额脊间具明显的纵刻纹，向后发散，至头顶处刻纹成网状；后头部粗网状刻纹间具细横刻纹；头侧面刻纹较细，纵长斜向。并腹胸背面具不规则皱纹和密集粗刻点；中胸侧板具密集粗刻点；并胸腹节侧面刻纹纵向，刻纹间具刻点。两结节刻点密集，背面稍具皱纹。后腹部第1节基部略具细弱网状刻纹，其余部分光亮。立毛黄色；头及并腹胸立毛细而柔软，两结节及后腹部立毛稍粗而钝。体暗红褐色；上颚、唇基及触角色稍浅；足和后腹部黄褐色。","中国广东（南岭）、广西（金秀、南丹）。"
"349","克努铺道蚁Tetramorium khnum","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","杜永超和杨忠文首先在云南采集到。 ","中国云南（景洪、勐腊、无量山）；菲律宾。"
"350","东方收获蚁Messor orientalis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","东方收获蚁的模式产地位于土耳其。 图","中国新疆（阜康）；乌兹别克斯坦，阿富汗，伊朗，格鲁吉亚，土耳其，塞浦路斯，以色列，黎巴嫩，约旦，叙利亚，伊拉克，希腊。"
"351","黄胸铺道蚁Tetramorium ochrothorax","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","定名文献：长有德, 贺达汉. 2001. 中国西北地区铺道蚁属分类研究. 宁夏农学院学报. 22(1):1-7. 正模工蚁:TL2.67,HL0.73,HW0.57,CI78.08,SL0.47,SI82.25,PW0.47,AL0.80,ED0.10 黄胸铺道蚁与克氏铺道蚁（Tetramorium kraepelini）接近，但本种体长2.60mm-3.17mm;并腹胸黄色，头、后腹部黄褐色;并胸腹节刺中等长度，末端直。 ","中国宁夏（彭阳）。"
"352","纹腹铺道蚁Tetramorium striabdomen","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","定名文献：长有德, 贺达汉. 2001. 中国西北地区铺道蚁属分类研究. 宁夏农学院学报. 22(1):1-7. ","中国宁夏（灵武（磁窑堡））、青海、内蒙古（鄂尔多斯）。"
"353","波纹铺道蚁Tetramorium undatium","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","定名文献：长有德, 贺达汉. 2001. 中国西北地区铺道蚁属分类研究. 宁夏农学院学报. 22(1):1-7. ","中国内蒙古（鄂托克（鄂托克前旗）、鄂尔多斯）、宁夏（陶乐）、青海（德令哈）。"
"354","敦煌铺道蚁Tetramorium dunhuangense","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","定名文献：长有德, 贺达汉. 2001. 中国西北地区铺道蚁属分类研究. 宁夏农学院学报. 22(1):1-7. 敦煌铺道蚁与相似铺道蚁（Tetramorium simillimum）接近 ,但本种体大 ,体长3.32mm-3.53mm;复眼大 ,ED0.17-0.20mm;体黑色 ,上颚、触角、足红褐色;头、并腹胸刻纹间无细密刻点 ,致使其光亮;并腹胸背面纵刻纹延伸至并胸腹节基面中部。","中国甘肃（敦煌）、青海。"
"355","雕刻盘腹蚁Aphaenogaster exasperata","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","雕刻盘腹蚁的模式产地位于中国。 工蚁：体长5.5-6.3mm。体暗红褐色，上颚、触角、足和后腹部末端颜色稍淡。立毛淡黄色，长而丰富,其末端钝。上颚纵刻纹细密；头部具清晰、较粗糙的网状刻纹，前半部网纹间刻点细密，头顶处树纹间几无刻点；前胸背板前端具横刻纹，中部光亮，两侧具纵长刻纹；并腹胸其余部分刻纹粗糙，中胸背板刻纹纵向，并胸腹节背板刻纹横向；结节和后腹部光亮，但后者第一节基部1/3具细密纵刻纹。头卵形，后头缘具边缘；复眼大而突出，位于头侧中央近前部；上颚具3个大端齿和许多小齿；唇基中部平，前缘中央具缺切；额脊突出；额区大，三角形，深凹；触角窝大，触角细长，柄节长度约1/3超出后头缘，鞭节棒不明显。并腹胸细长；前胸背板扁平，略隆起；中胸背板前端横脊略有突出，其后向下倾斜；并胸腹节基面中央具纵沟，2倍长于斜面；并胸腹节刺尖，指向后上方，端部稍向内弯。第一结节圆锥形，结前柄短，仅为结节的1/2长；第二结节梨形。后腹部颇大。 ","中国广东（河源、平远）、广西、江西、陕西、四川（川东盆地域）、云南（无量山）、浙江；越南。"
"356","地栖盘腹蚁Aphaenogaster subterranea","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","地栖盘腹蚁的模式产地位于法国。 ","中国甘肃；阿尔及利亚，阿尔巴尼亚，安道尔，亚美尼亚，奥地利，比利时，保加利亚，巴利阿里群岛，海峡群岛，捷克，法国，格鲁吉亚，德国，希腊，匈牙利，伊比利亚半岛，伊朗，意大利，马耳他，黑山共和国，波兰，马其顿，摩尔多瓦，罗马尼亚，俄罗斯，斯洛伐克，斯洛文尼亚，西班牙，瑞士，土耳其，乌克兰，英国，北爱尔兰。"
"357","条纹切胸蚁Temnothorax striatus","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","得名于其头部和中胸背板背面的条纹状刻纹。","中国宁夏（六盘山）、湖北、河南。"
"358","亮胸举腹蚁Crematogaster egidyi","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","大型工蚁头方形，小型工蚁头长大于宽，后头缘平直，后头缘钝圆。唇基凸圆，前缘平直。触角柄节超过后头缘；鞭节端3节形成触角棒。复眼位于头侧中部。前胸背板宽平，侧角圆凸；中胸背板长宽几相等，前-中胸背板缝不明显；中-并胸腹节缝清晰，深凹；并胸腹节基面前窄后宽，较长，剧形过渡到斜面；并胸腹节刺长，端部尖，其长度超过基面的长度。第1结节背面平，前面圆凸，两侧几呈角状，后部略有收缩；第2结节椭圆形，背面中央纵沟明显。后腹部粗大。 体光亮。头前半部及并腹胸具细弱纵刻纹；大体型工蚁前胸背板两侧纵刻纹较明显。立毛和柔毛黄白色，较短而稀疏。体黄红色，大型工蚁色较深。头及后腹部常带褐色。","中国湖南、河南、广西（金钟山）、江西、广东（封开、清新、连州、惠东、乳源）、香港。"
"359","江华弓背蚁Camponotus jianghuaensis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大型工蚁体长9.2-9.6mm，红褐色，头部褐黄色，上颚深红色，上颚7齿。","中国湖南、广西（桂林、全州、灌阳、金秀、环江、金钟山）、福建（龙岩）、广东（始兴）、云南、香港。"
"360","艾箭蚁Cataglyphis aenescens","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大型工蚁体长7.0-8.4mm，体通常黑色，足、触角、上颚深红色至红褐色。","中国北京（十三陵）、辽宁（建平）、山东（烟台）、青海（盘子山）、内蒙古（阿拉善、鄂尔多斯）、吉林、山西（大同）、河北（抚宁、满城）、新疆（巴里坤、乌鲁木齐、石河子、尼勒克、霍布克赛尔、托里、富蕴、木垒、若羌、库尔勒、奎屯、阿克苏、阿勒泰、库尔勒、和田、喀什、库车、新源、乌洽、阿克陶、疏附、五家渠）、甘肃（凉州、景泰、兰州、会宁、山丹、永靖、嘉峪关、榆中、永昌、 永登、古浪、岷县、会宁、西峰、安定、山丹县）、宁夏（贺兰山）、陕西；向西至意大利，向东至俄罗斯图瓦共和国境内，蒙古和中国北部，向北至乌克兰、捷克等地，同时在中亚、土耳其和高加索地区有分布。"
"361","广布弓背蚁Camponotus herculeanus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大型工蚁10.2-12.6mm，中小型工蚁7.0-11.2mm。头和后腹黑色，中间，至少结节红色。生活行为和分类特征类似，但分布更广，更趋向于高海拔。","中国辽宁、吉林、黑龙江、北京（霞云岭）、四川（武隆）、河南（开封、兰考、尉氏、杞县、通许、济源、民权、虞城、商丘）、宁夏（六盘山、贺兰山、罗山）、甘肃（渭源）、山西、新疆（乌鲁木齐、米泉）、青海、内蒙古、陕西、四川（川西北高山高原域）、湖北（神农架）、西藏（墨脱）、江苏、浙江、未定地名（Fu-shu-shi）；日本，俄罗斯，朝鲜，蒙古，吉尔吉斯斯坦，欧洲，北美。"
"362","东方行军蚁Dorylus orientalis","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae","大型工蚁：体长最大为7.4毫米。栗褐色至褐黄色，后腹部色较浅。身体具有密的刻点，后腹刻点较浅。无复眼。柔毛稀，短；头前及后腹部腹面及末端有一些立毛。","中国湖南（岳麓山）、湖北、广东（连州、 深圳、广州）、广西（金钟山）、云南（畹町、西双版纳）、贵州（湄潭、雷山雷公山）、福建、四川（彭水、武隆）、江西、浙江、海南、香港、未定地名（Yi Leang）；印度，缅甸，斯里兰卡，尼泊尔，马来西亚。"
"363","平截平头蚁Colobopsis nipponica","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大型工蚁：体长约5. 3mm。体褐红色，头前半部分深红色，触角、足、前胸带有黄色。毛被非常稀，头上仅有几根短毛，并腹胸无立毛，后腹每节后缘有少许立毛，后腹末端毛较多。柔毛被缺。除头前半部分外，全身十分光亮；头部触角以前部分刻点十分粗糙，有大的凹刻。头圆柱形，长大于宽，侧缘直且平行，后头缘直；唇基前3/4部分及颊部内陷，使头前半部呈平截状，并与其余部分相连处形成锋利的棱边；上额短，宽，具5钝齿；唇基窄，侧缘直，前缘凸，凹陷部分具中脊；唇基基部凸起，中央有一纵缝；触角脊直，相距远；触角柄节刚刚达到后头缘。并腹胸短，背面平，并胸腹节背板末端垂直。足短，前足腿节非常宽扁。结节薄，鳞片状，顶端平。后腹粗大，长，圆柱形。     小型工蚁：体长3.9-4.0mm。体红褐色，触角、足基节、转节和跗节带黄色。头前部自唇基基部开始向下弯曲，但不呈平截状；唇基宽大于长；触角柄节超出后头缘。并腹胸背面平，并胸腹节急剧侧扁。结节鳞片状，顶端圆。其余似大型工蚁。     雌蚁：体长5.5mm。体褐红色，触角鞭节、并腹胸、足带黄色。结节厚，顶端圆。其余似大型大蚁。 分布：四川；日本。  原“平截弓背蚁”。","中国广西（弄岗）、四川、河南（项城、淮阳、郸城、沈丘）；日本。"
"364","平和弓背蚁Camponotus mitis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大型工蚁：体长9.1-9.5mm。与拟光腹弓背蚁相似，但头较宽；触角柄节较短，柄节比小于110；前胸背板较宽，与头宽比大于60。 中、小型工蚁：体长7.6-9.1mm。体色较浅；毛被较稀；头较小；触角柄节1/2长超出后头缘。其余似大型工蚁。 ","中国云南（西双版纳、无量山）、湖北（随州）、湖南、贵州（梵净山）、福建（厦门）、广东（广州、惠东、深圳（南山））、广西（北流、横县、藤县、宜州、河池、容县、天等、来宾、桂平、金钟山）、海南、香港（大浦、浅水湾）、澳门、陕西、西藏（东久、德姆拉山）、重庆（大巴山）、河南（鸡公山）、未定（Black Liang）；斯里兰卡，印度。"
"365","弗里德弓背蚁Camponotus friedae","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大型工蚁：体长8.5-9.7mm。体黑色；触角鞭节和足红色，上颚末端褐红色。身体除头两颊和后头角外，具丰富的棕色长毛被，并胸腹节具毛40根以上；前足基节与腿节具长毛；足其余部分仅具稀琉的柔毛；全身柔毛被短，稀疏，不明显。体较光亮，具细密刻纹和稀疏的刻点。头后部远宽于前部，宽大于长或相等，后头缘平直，后头角突出；触角柄节刚刚超出后头缘；唇基略显中脊，有突出的中叶；上颚6齿，最后一齿很小。并腹胸背面弓形；前胸背板宽约为长的1. 5倍；并胸腹节十分侧扁；背板斜面儿垂直，凹陷，与基面截然分开。结节薄，鳞片状。     中型工蚁：体长6.6-7. 3mm。与大型工蚁相似，但体较短小。     小型工蚁：体长4. 8-6. 6mm。头较小；头长大于宽，后头缘略凸。前胸背板较窄。结节较厚。其余同大型土蚁。     雌蚁：体长14.5mm。与大型工蚁相比，头较小，后头缘略凸；结节宽，薄，顶端宽凹；后腹粗而长。     雄蚁：体长8.5mm。体黑色，带褐色；上颚、触角及足褐红色。柔毛被无；立毛十分稀疏，主要分布于身体末端。体不如工蚁光亮。头很小，后部与前部几等宽，后头缘凸，侧缘直；上颚窄，无齿；唇基有弱脊，前缘凸；触角柄节长。并胸腹节背板斜面陡，但与基面连接处圆滑。结节厚，低而宽，顶端中央深凹。","中国浙江（梅溪）、福建（厦门、鼓岭、福州、武夷山）、江苏、上海、台湾（甲仙、安平、大林、台北、高雄、Shustin、南投）；日本。"
"366","重庆弓背蚁Camponotus chongqingensis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大型工蚁：体长7. 7mm。头、触角柄节、结节和后腹部黑色；触角鞭节、足褐红色；前胸褐色；中胸和并胸腹节褐黑色；后腹前2节背板各具2个黄色浅斑，第一节上2斑点在中央汇合；后腹第一节腹面褐红色，各腹节后缘淡黄色。直立毛被中等丰富，柔毛短而稀。头不光亮，头部刻点较粗；并腹胸侧面有少量刻槽。头长大于宽，后头缘略凹；触角柄节1/6长超出后头缘；唇基有明显的中脊和突出的中叶；上颚7齿，基部2齿很小。并腹胸背面弓形；并胸腹节基面与斜面约等长。结节薄，前凸后平。后腹部小。    小型工蚁：体长5. 1-5.2nnm。与大型工蚁相似。但唇基、前胸背板为褐红色；后腹部第一节背板上2个黄斑汇合，腹面褐黄色。毛被较稀。后头缘凸，触角柄节1/2长超出后头缘；上颚6齿。结节前面很凸，后面平，顶端不尖。 ","中国重庆、四川（川西南高原域、川东盆地域）、云南（云岭、大理苍山、无量山）、广西、贵州、湖北（恩施、武当山、随州、武穴）、湖南。"
"367","伊藤弓背蚁Camponotus itoi","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大型工蚁：体长5.5--5.7mm。体黑色，带褐色；上颚和足褐色至褐红色。直立毛被很短且稀疏，但头前部及触角柄节毛丰富，并胸腹节背板和结节上有一些白色长毛。柔毛被稀。体很光亮；头前半部分有粗糙的网状刻点和大的凹刻，但在唇基前部凹陷部分无凹刻。头梯形，前窄后宽，侧缘直，后头缘微凹入；唇基较小，不具中脊，前面一半凹陷；头前部呈钝平截形；上颚6齿，布满丝状短毛。并腹胸背面平；前胸背板有弱的棱边；并胸腹节背板斜面短于基面，从上面看近垂直。结节宽，上下等厚，顶端平直。后腹肥大。 中、小型工蚁：体长4. 4- 5. 3mm。触角和足浅红色。头前部毛不如大型工蚁多。头到处为细的刻沟，无粗大刻点。唇基很凸，前缘具明显的边。其余特征如大型工蚁。 ","中国福建（龙岩）、湖北（恩施、鹤峰、新洲）、湖南、四川、新疆、江苏、台湾、西藏（墨脱）、河南（鸡公山）、广西（弄岗）、未定（Yue-wan-kiai）；日本，朝鲜半岛。"
"368","瑕疵弓背蚁Camponotus vitiosus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大型工蚁：体长4. 8-6. 0mm。体黑色，略带褐色，前胸背板、上颚、唇基、触角、足的大部分褐红色，有的个体前胸背板黑褐色。除头前部外，身体各部分同样光亮。并腹胸背板弱弓形，并胸腹节背板斜面凹陷，比伊藤弓背蚁更倾斜。其余特征同伊藤弓背蚁。 中、小型工蚁：体长3. 3-4. 6mm。头和并腹胸黑褐至红褐色，后腹黑色，上颚、唇基、触角、足和前胸背板浅红色。上颚5齿。并胸腹节背板基部略凹陷，斜面陡，不凹陷。结节较厚，顶端钝圆。其余同大型工蚁。","中国北京、河南（开封、尉氏、杞县、通许、登封、鸡公山）、湖北（恩施、鹤峰、咸丰、五峰、长阳、宜昌、十堰、竹溪、竹山、郧县、襄阳、罗田、浠水、通山、崇阳、新洲、监利、荆州）、湖南、江西、安徽、江苏、上海（佘山、徐家汇）、浙江、福建、广西（南宁、桂林、柳州、梧州、玉林、百色、钦州、北海、山口英罗港）、辽宁（营口、鞍山）、广东（广州、珠海、连州、茂名、信宜、从化）、四川（川西南高原域）、贵州（梵净山）、云南（无量山）、台湾（台北、垦丁港口村、大林）、河北、香港；日本，韩国，朝鲜。"
"369","拟哀弓背蚁Camponotus pseudolendus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大型工蚁：体长13.5-14.6mm。体黑色，后腹部体节后缘具一黄色窄带。全身有较丰富的短面直立的褐黄色毛被，前胸背板有直立毛30-40根。柔毛被非常密集，将后腹部刻点遮住；足除基节外只具稀疏的柔毛；柄节上柔毛短而稀。身体灰暗，无光泽；上颚和足较亮；身体刻点细小。体粗壮。头后部宽于前部，后头缘凹陷；触角柄节1/3长超出后头缘；唇基具突出的中叶，唇脊不明显；上颚6齿。并腹胸背面为连续的弓形；并胸腹节背板基面与斜面等长，斜面很陡，但不垂直。后腹肥大，宽卵形。","中国四川（四川盆地西缘山地域、川西南高原域）、云南（昆明、云岭、大理苍山）、广西。"
"370","金毛弓背蚁Camponotus tonkinus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大型工蚁：体长13.0-14. 1mm。体黑色；触角鞭节、足基节、转节和足跗节末端红色，足其余部分黑色略带红色。毛被为极显著的褐红色或棕红色，头与并腹胸上毛稀疏，后腹部毛丰富，此外后腹部还有密的倒伏毛口柔毛被丰富。体光亮，刻点细。头三角形，后头缘直；唇基具短的中叶，无明显的唇脊；触角柄节近1/3长超出后头缘；上颚5齿。并腹胸及后腹形状同日本弓背蚁。 中、小型工蚁：体长8. 8-13. 2mm。头较小，长大于宽，两侧缘平行，后头缘凸；上颚窄，具5齿；触角柄节1/3-2/3长超出后头缘。其余同大型工蚁。","中国云南（云岭、无量山）、四川、甘肃（临夏、山丹、嘉峪关）、河南（济源）、陕西、广西（金钟山）、广东（南岭）；越南。"
"371","拟光腹弓背蚁Camponotus pseudoirritans","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大型工蚁：体长11.8-12.2mm。头（包括触角柄节）和后腹部黑色，有的个体后腹红褐色；并腹胸红褐色；上颚、唇基前端、足和结节红色；腹节后缘具一浅黄色窄带。毛被中等丰富；中胸和并胸腹节背板毛稀，前胸背板毛数量变化较大，从13根至60根，结节有对称的6根毛。柔毛被稀疏。头前部刻点粗糙，身体其余部分刻点细。并腹胸和足较光亮，头和后腹部较暗淡。头很大，长，后头缘直；触角柄节1/2长（SI>110）超出后头缘；唇基较窄，具明显的中脊和突出的中叶；上颚7齿，最后一齿很小。并腹胸窄长，背面呈连续的弓形；前胸背板窄（与头宽比< 58），前部呈颈状。结节小，前面略凸，后面平。后腹部窄。 中、小型工蚁：体长6.9-8.3mm。头较小，后部变窄，成颈状；唇基具中脊和中叶；上颚6齿。后腹部更窄。足较长。其余同大型工蚁。","中国四川（川西南高原域、川东盆地域）、云南、湖南、广东（广州、郁南、河源、平远）、广西（兴安、全州、荔浦、河池）、贵州（大沙河）、河南（鸡公山）；印度，斯里兰卡，日本，朝鲜。"
"372","少毛弓背蚁Camponotus spanis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大型工蚁：体长11.2-12.7mm。体黑色；头两颊部略带红色，足关节处黄褐色。身体具稀疏的棕黄色直立毛；并腹胸背板有5-13根毛；后腹毛较多。柔毛短而稀；触角柄节柔毛较丰富。头与并腹胸较暗淡，后腹和足较光亮。头凸，呈梯形，后头缘平；触角柄节五分之二长超出后头缘；唇基矩形，凸，无唇脊，有略突出的中叶；上颚具5钝齿。并腹胸背面弓形，很凸；并胸腹节背板斜面很陡，斜而短于基而。结节前凸后平，顶端圆。后腹中等大小。 中型工蚁：体长9.5-10.4mm。后头缘略凸；唇基梯形；身体较短小。其余同大型工蚁。","中国湖南、浙江、安徽、福建、江苏（常州）、广西（花坪）、重庆、河南（鸡公山）、广东（南岭）。"
"373","黑褐弓背蚁Camponotus rubidus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大型工蚁：体长10.8mm左右。体黑褐色；头黑色，足深红色，触角鞭节红色，腹节后缘具一浅黄色窄带。毛被短而稀疏；头前部和后腹末端较多，头两侧无直立毛，并腹胸背面有十几根毛，后腹部第二节背面毛不超过10根；结节无毛或仅具1-2根毛。柔毛极短，稀；头顶柔毛较明显。体不光亮。头长大于宽，前部略窄于后部，后头缘深凹；触角柄节近1/3长超出后头缘；唇基具中脊和突出的中叶，前缘平；上颚粗。具6齿。并腹胸背面呈连续的弓形；并胸腹节背板基面长是斜面的近2倍。结节楔形。后腹部宽。    中、小型工蚁：体长8.2-8.7mm。和大型工蚁比，体色较淡；体褐色，头前部、鞭节、足和结节红色。头较小，两侧缘平行，后部变窄成颈状；触角柄节2/3长超出后头缘；唇基梯形，前部明显宽于后部，中叶突出。其余同大型工蚁。 ","中国湖南、安徽、浙江、福建（龙岩）、广东（平远）、河南（济源）、香港。"
"374","褐毛弓背蚁Camponotus fuscivillosus","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大型工蚁：体长10.5-11.0mm。体黑色；头和后腹部带褐色或褐红色；触角鞭节和足褐红色。全身有十分丰富的褐色长毛；并腹胸背板毛多于40根.头下而毛稀疏且较短；足腿节内侧及前足基节前而有长毛，足其余部分只具短而稀疏的倒伏毛。除后腹较暗外，其余部分较亮。后头缘凹入；触角柄节约1/4长超出后头缘；唇基梯形，无唇脊，具明显且突出的中叶，其前缘平截或中央略凹陷；上颚6齿，但最后一齿很小。并腹胸背而呈连续的弓形，很凸。后腹宽卵形。    中、小型工蚁：体长6.6-7.8mm。头较小，后头缘平或凸，侧缘平行；触角柄节1/3-1/2长超出后头缘；唇基较宽，其前缘平或中间有的凹；上颚较窄，5齿。其余同大型工蚁。  ","中国湖南、江西、广东、香港。"
"375","大头弓背蚁Camponotus largiceps","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","大型工蚁：体长10. 6-13. 2mm。头和后腹部褐黑色，头后部多少带红色；触角鞭节、并腹胸、结节和足红色至褐红色；腹节后缘具一浅黄色窄带。身体毛被短而稀；并腹胸背面及后腹部第二节背板毛均少于10根；后腹末端毛较多，且长。柔毛被十分稀疏。刻点细密，头和并腹胸略显光亮，后腹更亮，足腿节及胫节具纵刻槽。头较大，三角形，后头缘直；触角柄节达不到后头缘；唇基宽，仅中部有一段脊，中叶突出，前缘平；上颚具6钝齿。并腹胸背面弓形；并胸腹节背板斜而较陡，基面长于斜而。结节薄，前面略凸，后而平，顶端宽且中央略凹。后腹部短而宽。    中型工蚁：体长7.9-9. 5mm。头，并腹胸及触角柄节褐红色至红色，后腹部黑褐色至红褐色，鞭节和足黄红色至红色，上颚黑红色。身休较短小；头大，后头缘直；触角柄节约1/3长超出后头缘约；上颚5-6齿；结节较厚.其余同大型工蚁。    小型工蚁：休长5.1-7.6mm。体褐红色，足胫、附节和触角鞭节黄红色，上颚齿黑色。头两侧缘平行或向后部略变窄，后头缘略凸；触角柄节约1/3长超出后头缘；上颚5-6齿；结节较厚。其余同大型工蚁。    分布：湖南、安徽。 ","中国河南（栾川）、湖南、安徽。"
