"ID","种","属","亚科","描述","分布"
"30","光腿刺切叶蚁Acanthomyrmex glabfemoralis","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“glabfemoralis”是由“glab”+“femoralis”组成，意为“光滑的大腿”。 光腿刺切叶蚁的模式产地位于中国。 建种文献：周善义, 郑哲民. 1997. 广西蚂蚁三新种(膜翅目: 蚁科). 昆虫分类学报. 19(1): 47-51.","中国广东、广西（花坪、大瑶山）、云南（西双版纳）、浙江（温州）；越南。"
"31","弯背多刺蚁Polyrhachis gibba","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","种小名“gibba”意为“驼背的”，因为已经有驼背多刺蚁（Polyrhachis cyphonota）存在，故而译为“弯背多刺蚁”。 ","中国云南；菲律宾，苏拉威西岛。"
"32","长瘤颚蚁Strumigenys exilirhina","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“exilirhina”是由“exili”+“rhina”组成的，意为“小的皮肤粗糙的鲨鱼”，是对其体表特征的描述。","中国云南（西双版纳）、香港、广东（深圳（罗湖））；尼泊尔，印度，不丹，泰国，日本。"
"33","高狡臭蚁Technomyrmex elatior","穴臭蚁属Bothriomyrmex","蚁亚科蚂蚁Formicinae","种小名“elatior”意为“高的，更高的”，故而此蚁种译为“高狡臭蚁”。","中国山东（德州、东河）、广东、云南；文莱，印度尼西亚，马来西亚，菲律宾，新加坡，柬埔寨，印度，尼泊尔，斯里兰卡，越南，意大利。"
"34","狄俄墨得斯铺道蚁Tetramorium diomedeum","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“diomedeum”是以特洛伊战争中古希腊的英雄“狄俄墨得斯”命名的，因为其属希腊神话中的人物，名称无法简化，故而取全名，译为“狄俄墨得斯铺道蚁”。","中国新疆；保加利亚，克罗地亚，希腊，意大利，马耳他，黑山，土耳其。"
"35","难辨铺道蚁Tetramorium difficile","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“difficile”意为“困难的”，指的是本种与汤加铺道蚁（Tetramorium tonganum）极为相似，难以鉴别。故而译为“难辨铺道蚁”。","中国云南（西双版纳）；越南，不丹，尼泊尔。"
"36","德令哈蚁Formica delinghaensis","尖尾蚁属Acropyga","蚁亚科蚂蚁Formicinae","种小名“delinghansis”是一个地名，指的是本种最初的发现地 - 青海西州的德令哈市。","中国新疆、内蒙古、青海（德令哈）。"
"37","短刺铺道蚁Tetramorium curtulum","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“curtulum”意为“短的”，指的是其并胸腹节上的刺较短的特点，故而译为“短刺铺道蚁”。 相比于同种团的其他铺道蚁，本种的复眼较小。","中国香港；缅甸，印度尼西亚，马来西亚。"
"38","厚刺刺切叶蚁Acanthomyrmex crassispinus","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“crassispinus”是由“crassi-”+“spinus”组成，意为“较为粗的刺”，故而译为“厚刺刺切叶蚁”。 厚刺刺切叶蚁的模式产地位于中国台湾。 工蚁体长3~3.5mm。","中国台湾。"
"39","弁天瘤颚蚁Strumigenys benten","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“benten”是日本七福神之一的弁财天，也是其中唯一的女性神，掌管文学，音乐和财富的女性守护神，日语作“弁天”，故而译为“弁天瘤颚蚁”。 本种曾被错误地翻译为“典剑”。","中国台湾；日本。"
"40","狭唇细长蚁Tetraponera attenuata","细长蚁属Tetraponera","蚁亚科蚂蚁Formicinae","种小名“attenuata”意为“弱化的，渐狭的”，指的是其唇基狭长的特点，故而译为“狭唇细长蚁”。 本种个体大小、结节形状及毛被变化很大。易被误认为不同种。 泰加细长蚁（Tetraponera thagatensis）确定为狭唇细长蚁（Tetraponera attenuata）的次异名，已撤销。","广西（天等、博白、容县、青龙山、大瑶山、大王岭）、海南（南味岭、尖峰岭、万宁、五指山、佳西）、广东（百涌、车八岭）、云南（西双版纳）、台湾、香港、湖南；印度，苏门答腊，爪哇，加里曼丹。"
"41","凶恶盲切叶蚁Carebara asina","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“asina”的本意为“驴”，同时有“凶恶之人”的引申含义。原文献并未注明命名原因，根据此属特点，译为“凶恶盲切叶蚁”。 凶恶盲切叶蚁的模式产地位于印度。","中国云南；孟加拉国，印度。"
"42","窄足双节行军蚁Aenictus artipus","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae","种小名“artipus”是由“arti”+“pus”组成，意为“窄的脚”，故而译为“窄足双节行军蚁”。","中国云南（西双版纳）；泰国，越南。"
"43","犁双节行军蚁Aenictus aratus","双节行军蚁属Aenictus","蚁亚科蚂蚁Formicinae","种小名“aratus”意为“犁过的，耕种过的”，并非姓氏，原中文名“艾氏”为翻译错误，特此更正，改译为“犁双节行军蚁”。 工蚁体长2.5-3.5mm，头、并胸腹和结节褐黑色至暗红褐色，身体其余部分为红褐色，足跗节和后腹部末端有时为黄色。","中国湖南、香港；喜马拉雅山区，印度至澳大利亚。"
"44","角肩切胸蚁Temnothorax angulohumerus","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“angulohumerus”是由“angulo”+“humerus”组成，意为“角状的肩”，故而译为“角肩切胸蚁”。","中国湖南(江永)、广西、福建（漳州）。"
"45","迷走举腹蚁Crematogaster aberrans","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","种小名“aberrans”意为“迷走的”，故而译为“迷走举腹蚁”。","中国福建；印度，泰国。"
"46","粗节收获蚁Messor perantennatus","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","中文定名依据，同时也是快速识别特征：触角鞭节第一节极度发达、粗大，且长，其长度大于第二和第三节的总和。 粗节收获蚁的模式产地位于哈萨克斯坦。","中国新疆（阜康）；哈萨克斯坦，土库曼斯坦，伊朗。"
"47","中南铺道蚁Tetramorium indosinense","刺切叶蚁属Acanthomyrmex","蚁亚科蚂蚁Formicinae","中南铺道蚁在1927年首先由Wheeler采集自越南，徐正会等在1998年的《西南林学院学报》发表论文显示中国云南存在分布。 原中文名为“印支铺道蚁”，为规避歧视性用词，特改为“中南铺道蚁”。","中国云南(勐腊)；越南。"
